P_left,P_right,beta_left,vx_left,vx_right,floor_count,completed,max_iterations_seen,min_pressure_seen,step_count
0.0001,1e-05,0.000128,0.99,-0.5,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,0.99,0,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,0.99,0.5,0,0,6,1e-05,100001
0.0001,1e-05,0.000128,0.99,0.9,0,1,6,1e-05,1254
0.0001,1e-05,0.000128,0.99,0.99,0,1,8,1e-05,200
5e-05,5e-06,6.4e-05,-0.9,-0.9,0,1,6,4.99972e-06,200
5e-05,5e-06,6.4e-05,-0.9,-0.5,0,1,5,4.9999e-06,321
5e-05,5e-06,6.4e-05,-0.9,0,0,1,5,4.99997e-06,416
5e-05,5e-06,6.4e-05,-0.9,0.5,0,1,5,4.99999e-06,398
5e-05,5e-06,6.4e-05,-0.9,0.9,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,-0.9,0.99,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,-0.5,-0.9,0,1,6,5e-06,213
5e-05,5e-06,6.4e-05,-0.5,-0.5,0,1,5,4.9999e-06,209
5e-05,5e-06,6.4e-05,-0.5,0,0,1,5,4.99997e-06,228
5e-05,5e-06,6.4e-05,-0.5,0.5,0,1,5,4.99999e-06,378
5e-05,5e-06,6.4e-05,-0.5,0.9,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,-0.5,0.99,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,0,-0.9,0,1,6,5e-06,283
5e-05,5e-06,6.4e-05,0,-0.5,0,1,5,4.99995e-06,240
5e-05,5e-06,6.4e-05,0,0,0,1,5,4.99997e-06,224
5e-05,5e-06,6.4e-05,0,0.5,0,1,5,4.99999e-06,439
5e-05,5e-06,6.4e-05,0,0.9,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,0,0.99,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,0.5,-0.9,0,1,6,5e-06,340
5e-05,5e-06,6.4e-05,0.5,-0.5,0,1,5,5e-06,268
5e-05,5e-06,6.4e-05,0.5,0,0,1,5,4.99997e-06,285
5e-05,5e-06,6.4e-05,0.5,0.5,0,1,5,4.99999e-06,443
5e-05,5e-06,6.4e-05,0.5,0.9,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,0.5,0.99,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,0.9,-0.9,0,1,6,5e-06,365
5e-05,5e-06,6.4e-05,0.9,-0.5,0,1,5,5e-06,599
5e-05,5e-06,6.4e-05,0.9,0,0,1,5,5e-06,1028
5e-05,5e-06,6.4e-05,0.9,0.5,0,1,5,5e-06,579
5e-05,5e-06,6.4e-05,0.9,0.9,0,1,6,5e-06,200
5e-05,5e-06,6.4e-05,0.9,0.99,0,1,8,5e-06,200
5e-05,5e-06,6.4e-05,0.99,-0.9,0,1,6,5e-06,571
5e-05,5e-06,6.4e-05,0.99,-0.5,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,0.99,0,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,0.99,0.5,0,0,6,5e-06,100001
5e-05,5e-06,6.4e-05,0.99,0.9,0,1,6,5e-06,1251
5e-05,5e-06,6.4e-05,0.99,0.99,0,1,8,5e-06,200
2.5e-05,2.5e-06,3.2e-05,-0.9,-0.9,0,1,6,2.49994e-06,200
2.5e-05,2.5e-06,3.2e-05,-0.9,-0.5,0,1,5,2.49998e-06,321
2.5e-05,2.5e-06,3.2e-05,-0.9,0,0,1,5,2.49999e-06,416
2.5e-05,2.5e-06,3.2e-05,-0.9,0.5,0,1,5,2.5e-06,398
2.5e-05,2.5e-06,3.2e-05,-0.9,0.9,0,0,6,2.5e-06,100001
2.5e-05,2.5e-06,3.2e-05,-0.9,0.99,0,0,6,2.5e-06,100001
2.5e-05,2.5e-06,3.2e-05,-0.5,-0.9,0,1,6,2.5e-06,213
2.5e-05,2.5e-06,3.2e-05,-0.5,-0.5,0,1,5,2.49998e-06,209
2.5e-05,2.5e-06,3.2e-05,-0.5,0,0,1,5,2.49999e-06,228
2.5e-05,2.5e-06,3.2e-05,-0.5,0.5,0,1,5,2.5e-06,378
2.5e-05,2.5e-06,3.2e-05,-0.5,0.9,0,0,6,2.5e-06,100001
2.5e-05,2.5e-06,3.2e-05,-0.5,0.99,0,0,6,2.5e-06,100001
